ImageName,Embedding
1_10190_u_4,"[[ 0.01959833  0.04338331  0.04023521 ...  0.06924425  0.04066359
   0.05112434]
 [ 0.02569587  0.07605131 -0.0211245  ...  0.11299759  0.03577225
  -0.00444292]
 [ 0.03953947  0.07870699 -0.04500433 ...  0.13910075  0.07518621
  -0.04742993]
 ...
 [-0.03038746  0.11053288 -0.04816321 ...  0.2372165  -0.036474
   0.00921191]
 [-0.03429447  0.15734132 -0.1256651  ...  0.25026876 -0.05391854
  -0.07886977]
 [-0.03488432  0.14696313 -0.1263636  ...  0.25100458 -0.06392935
  -0.0495795 ]]"
1_10190_u_5,"[[-0.00610902  0.03633809 -0.0093678  ...  0.13825178  0.02906515
   0.01653302]
 [-0.0049425   0.04223327 -0.01229171 ...  0.14516275  0.02301374
   0.01404731]
 [ 0.00166268  0.09575784 -0.06211665 ...  0.1704621   0.07637173
  -0.06697425]
 ...
 [-0.04295589  0.12394848 -0.05748391 ...  0.23990709 -0.03510389
  -0.00686454]
 [-0.05668043  0.16793324 -0.11688907 ...  0.25699908 -0.02735249
  -0.09089623]
 [-0.02741132  0.12392145 -0.09255565 ...  0.23187986 -0.04389429
  -0.02338538]]"
1_10190_u_6,"[[ 0.03126162 -0.00763006  0.04272263 ...  0.12605292 -0.02730781
   0.11591245]
 [ 0.0380047   0.05665123 -0.08771527 ...  0.12512912 -0.00587303
  -0.07700378]
 [ 0.03320004  0.04139063 -0.02454082 ...  0.07630324  0.04272019
   0.05058027]
 ...
 [ 0.04473608  0.1432201  -0.15675205 ...  0.18147781  0.03987586
  -0.16024366]
 [ 0.04352808  0.1485628  -0.16887996 ...  0.18435839  0.01701628
  -0.1585534 ]
 [ 0.01605608  0.15795682 -0.17341268 ...  0.20554371  0.00986909
  -0.16658415]]"
1_10462_u_1,"[[ 0.03670492  0.15545319 -0.19736691 ...  0.208522   -0.04334377
  -0.17200162]
 [ 0.05004547  0.16205911 -0.23336428 ...  0.21169452 -0.03804793
  -0.17836405]
 [ 0.05115074  0.14963394 -0.18508856 ...  0.20274548 -0.01022433
  -0.18787713]
 ...
 [-0.00529978  0.17292659 -0.16741638 ...  0.25564456 -0.03106502
  -0.12950128]
 [-0.02138714  0.19440377 -0.20361972 ...  0.27196965 -0.05802619
  -0.13244951]
 [-0.03713674  0.17624609 -0.1576939  ...  0.27189118 -0.06713453
  -0.07310643]]"
1_10462_u_2,"[[ 0.03674478  0.12811445 -0.20770983 ...  0.16731577 -0.09202377
  -0.1970899 ]
 [ 0.05504592  0.15696974 -0.27495113 ...  0.18311544 -0.12525299
  -0.21687406]
 [ 0.01481418  0.17017071 -0.22151522 ...  0.22539389 -0.07965934
  -0.17997968]
 ...
 [-0.00409858  0.202267   -0.23631854 ...  0.25501218 -0.07468447
  -0.15084681]
 [-0.01548352  0.21124844 -0.24027236 ...  0.254816   -0.09362492
  -0.13583869]
 [-0.00080235  0.1908616  -0.2481355  ...  0.24504037 -0.07461081
  -0.1516558 ]]"
1_10462_u_3,"[[ 0.06657353  0.12114692 -0.21228594 ...  0.15670677 -0.01357793
  -0.20848532]
 [ 0.06843786  0.15530106 -0.26774007 ...  0.19076824 -0.05050685
  -0.2247241 ]
 [ 0.06374328  0.13962342 -0.22716242 ...  0.17822321 -0.03563425
  -0.2005554 ]
 ...
 [ 0.00750165  0.1910712  -0.23763525 ...  0.25816262 -0.06178594
  -0.17083494]
 [ 0.01128858  0.19283019 -0.2503548  ...  0.251282   -0.0710196
  -0.17935531]
 [-0.01027521  0.1938323  -0.2351073  ...  0.2643375  -0.07464688
  -0.15328856]]"
1_10462_u_4,"[[ 0.08299984  0.14933409 -0.23547721 ...  0.17155993 -0.07214272
  -0.22489609]
 [ 0.11473309  0.14027832 -0.2821759  ...  0.1570414  -0.0880619
  -0.24002124]
 [ 0.10727702  0.12727745 -0.16973886 ...  0.14523305  0.0319511
  -0.20869097]
 ...
 [ 0.01938145  0.1784432  -0.21224156 ...  0.24288693 -0.03655919
  -0.17170808]
 [ 0.04288047  0.16023226 -0.23837784 ...  0.21445873 -0.05744832
  -0.17915173]
 [ 0.02088428  0.18349873 -0.24564421 ...  0.24245441 -0.07792045
  -0.17085397]]"
1_10462_u_5,"[[-0.02008359  0.1721249  -0.17873673 ...  0.22838344 -0.04396977
  -0.13029982]
 [-0.0414906   0.12380162 -0.07126476 ...  0.20117693 -0.00259307
  -0.06167822]
 [-0.00287836  0.17010228 -0.206245   ...  0.2605951  -0.08210868
  -0.11865556]
 ...
 [ 0.03084348  0.1368831  -0.18294664 ...  0.21896015 -0.09079844
  -0.09272226]
 [ 0.0454606   0.12125305 -0.15757143 ...  0.22388856 -0.07938947
  -0.10330656]
 [-0.02268799  0.17410158 -0.19476748 ...  0.2516493  -0.07192706
  -0.10580894]]"
1_10495_u_1,"[[-0.04055442  0.16659334 -0.16349247 ...  0.23837319 -0.04979645
  -0.12444584]
 [-0.01255764  0.14001124 -0.15368408 ...  0.20151094 -0.02960791
  -0.13496973]
 [-0.06054134  0.13622563 -0.06725129 ...  0.2251279   0.03378247
  -0.07657227]
 ...
 [ 0.01118895  0.08690257 -0.15938675 ...  0.14120339 -0.02121588
  -0.14612244]
 [-0.01469583  0.11949724 -0.15930963 ...  0.1797242  -0.03371887
  -0.13103569]
 [ 0.04424547  0.13166593 -0.22904456 ...  0.1710933  -0.05748309
  -0.1860837 ]]"
1_10495_u_2,"[[-0.04626475  0.16322626 -0.14272496 ...  0.23060502 -0.03799928
  -0.1161571 ]
 [-0.02744103  0.13589717 -0.1228624  ...  0.19968134 -0.01875428
  -0.11624095]
 [-0.03778141  0.11287439 -0.03789143 ...  0.22659323  0.08647729
  -0.04622319]
 ...
 [ 0.00329442  0.10449779 -0.15915278 ...  0.16148967 -0.02341765
  -0.13846774]
 [-0.03372293  0.12756589 -0.14656308 ...  0.19898206 -0.03539888
  -0.11726293]
 [ 0.03807377  0.13003261 -0.21902975 ...  0.17246494 -0.05152896
  -0.18122096]]"
1_10496_u_1,"[[-0.01828578  0.18331382 -0.18264097 ...  0.25866792 -0.03778322
  -0.13758892]
 [ 0.01763017  0.14755407 -0.1508272  ...  0.19789168  0.01663211
  -0.1588324 ]
 [-0.01246978  0.16426295 -0.16663274 ...  0.23158151 -0.04352833
  -0.10308413]
 ...
 [-0.03147127  0.11029422 -0.13413343 ...  0.18951581 -0.04038673
  -0.10551833]
 [-0.03810183  0.10046728 -0.10483436 ...  0.2050758  -0.05289574
  -0.04757912]
 [-0.00538895  0.10255088 -0.14014971 ...  0.19332767 -0.05029152
  -0.09408693]]"
1_10496_u_2,"[[-0.01341062  0.12109676 -0.10354949 ...  0.20101014  0.00884299
  -0.09088095]
 [-0.00551866  0.1463601  -0.1699641  ...  0.20929296 -0.02704956
  -0.13086566]
 [-0.02339875  0.14707543 -0.1028595  ...  0.20846514  0.02859091
  -0.10610507]
 ...
 [-0.00184923  0.07636413 -0.11813841 ...  0.17517206 -0.0344617
  -0.07652758]
 [-0.02815725  0.08246882 -0.07599518 ...  0.20400028 -0.02217917
  -0.024252  ]
 [-0.04365167  0.12323172 -0.10177023 ...  0.22227553 -0.04060308
  -0.06538292]]"
1_10496_u_3,"[[ 0.01451156  0.05671624 -0.01107636 ...  0.17944703 -0.0241014
   0.08731028]
 [ 0.02790965  0.06552039 -0.02324957 ...  0.17027727 -0.0403437
   0.08324195]
 [ 0.02071562  0.07403259 -0.0320329  ...  0.21776444 -0.10011888
   0.09985019]
 ...
 [-0.06513518  0.16769643 -0.13001528 ...  0.2645349  -0.08831276
  -0.04103086]
 [-0.05642641  0.14521948 -0.0895972  ...  0.27389726 -0.08065011
  -0.0051069 ]
 [-0.06236974  0.12609291 -0.07698077 ...  0.22439787 -0.04279401
  -0.0401167 ]]"
1_10496_u_4,"[[-0.05226477  0.17118205 -0.14470461 ...  0.2778864  -0.08789089
  -0.0530405 ]
 [-0.05024377  0.19544184 -0.17516392 ...  0.28849727 -0.07838957
  -0.08939596]
 [ 0.00906677  0.10033189 -0.05971879 ...  0.25688496 -0.12786393
   0.08622636]
 ...
 [-0.07353257  0.21015145 -0.16021532 ...  0.29241458 -0.0917159
  -0.05807584]
 [-0.06418629  0.18487495 -0.13948375 ...  0.28236884 -0.07325636
  -0.04001846]
 [-0.0686132   0.18086444 -0.1355116  ...  0.2750365  -0.06100212
  -0.07311139]]"
1_10496_u_5,"[[-0.02339016  0.11268233 -0.07255583 ...  0.22134143 -0.04322575
   0.00415425]
 [-0.02401222  0.13749833 -0.10762621 ...  0.22722502 -0.05799871
  -0.01196491]
 [-0.0488793   0.17062238 -0.15277284 ...  0.2649717  -0.09066041
  -0.03415191]
 ...
 [-0.03491144  0.16755836 -0.15381768 ...  0.23397985 -0.0472432
  -0.0825754 ]
 [-0.03518053  0.16459894 -0.13242012 ...  0.24329689 -0.035593
  -0.06525926]
 [-0.03112807  0.16861272 -0.1500149  ...  0.23433849 -0.02449406
  -0.12648264]]"
1_10496_u_6,"[[ 0.00041339  0.15088965 -0.16837782 ...  0.23823902 -0.04941774
  -0.0924695 ]
 [ 0.04689969  0.0884598  -0.16384202 ...  0.15479589 -0.01469374
  -0.09599987]
 [ 0.03640008  0.07425945 -0.08676832 ...  0.1332043   0.0359612
  -0.07234617]
 ...
 [ 0.02544931  0.14001839 -0.21807483 ...  0.20169741 -0.05803494
  -0.14483461]
 [ 0.02860178  0.13696454 -0.20979819 ...  0.20890029 -0.07889643
  -0.14648388]
 [ 0.0214816   0.12183741 -0.17787978 ...  0.17121553 -0.02845656
  -0.14993873]]"
1_10496_u_7,"[[-0.04236752  0.18565315 -0.17791569 ...  0.28688538 -0.08871563
  -0.07713246]
 [-0.05158335  0.19160928 -0.1838212  ...  0.28011033 -0.0753514
  -0.10877261]
 [-0.02810034  0.16134444 -0.13206792 ...  0.2731237  -0.09712961
  -0.04385383]
 ...
 [-0.05772857  0.15275854 -0.11521197 ...  0.26413465 -0.0908674
   0.00567   ]
 [-0.02358566  0.10889055 -0.0589342  ...  0.26060206 -0.08482909
   0.06702411]
 [-0.01155677  0.09558028 -0.06097756 ...  0.23641488 -0.0987612
   0.05423424]]"
1_105_u_1,"[[ 0.00426083  0.18615401 -0.23652098 ...  0.21427113 -0.12679213
  -0.17552635]
 [ 0.03122539  0.1726121  -0.25532538 ...  0.20308247 -0.11123693
  -0.19284515]
 [ 0.1163048   0.13963947 -0.19175899 ...  0.11547442 -0.17703567
  -0.26596496]
 ...
 [ 0.18640864  0.05024092 -0.20701545 ...  0.02614964 -0.07874967
  -0.28751498]
 [ 0.25889274  0.10277383 -0.09008639 ... -0.00797949 -0.19381131
  -0.40332794]
 [ 0.18331768  0.03893374 -0.2189456  ...  0.05807997 -0.15163465
  -0.28704882]]"
1_105_u_2,"[[ 0.02833068  0.15896009 -0.21001372 ...  0.17519763 -0.06244669
  -0.18581742]
 [ 0.00388202  0.19524135 -0.22533193 ...  0.22269459 -0.07937002
  -0.16818044]
 [ 0.15840583  0.10725507 -0.22961065 ...  0.08146223 -0.15949994
  -0.27846017]
 ...
 [ 0.11921066  0.08723883 -0.22850162 ...  0.11323988 -0.07164389
  -0.25456244]
 [ 0.17743364  0.13448079 -0.13132471 ...  0.03938533 -0.15782562
  -0.33206663]
 [ 0.08943577  0.06442191 -0.20023292 ...  0.11180538 -0.06594551
  -0.21361174]]"
1_105_u_3,"[[ 0.00715616  0.18957053 -0.23578939 ...  0.20923024 -0.12862599
  -0.17881267]
 [ 0.00970547  0.21338053 -0.23351777 ...  0.21782154 -0.16164446
  -0.1866446 ]
 [ 0.1112285   0.14510232 -0.19381002 ...  0.1160603  -0.13195428
  -0.25006473]
 ...
 [ 0.23788388  0.07376391 -0.18627092 ...  0.00376633 -0.12930347
  -0.34583387]
 [ 0.24342617  0.1383573  -0.05319286 ... -0.00379493 -0.22304669
  -0.41080782]
 [ 0.20924148  0.04957482 -0.14051202 ... -0.00122928 -0.13225123
  -0.32172325]]"
1_10748_u_1,"[[ 0.02304719  0.13544308 -0.13446385 ...  0.19165695 -0.04929711
  -0.05194658]
 [-0.00346664  0.15867797 -0.18357342 ...  0.19517136 -0.06347361
  -0.09472968]
 [ 0.02595453  0.11111712 -0.09311663 ...  0.17587985 -0.07525308
   0.01723574]
 ...
 [-0.06604327  0.12733945 -0.10167164 ...  0.21443745 -0.06822841
  -0.08186269]
 [ 0.01276094 -0.12849556  0.05553239 ...  0.1432349  -0.0056722
  -0.01003808]
 [-0.07170093  0.08206311 -0.05978682 ...  0.21918958 -0.05687765
  -0.01480506]]"
1_10748_u_10,"[[ 0.01931468  0.10093082 -0.14853314 ...  0.16126156 -0.01828489
  -0.09187734]
 [ 0.01274284  0.12524652 -0.17996502 ...  0.19399981 -0.03727874
  -0.11938766]
 [-0.03619944  0.13184999 -0.12108465 ...  0.19609183 -0.05598024
  -0.03711176]
 ...
 [-0.0129627   0.10557614 -0.15550536 ...  0.18773365 -0.04866632
  -0.11723056]
 [-0.06080816  0.07215357 -0.05356161 ...  0.1995564  -0.02452234
  -0.02595058]
 [-0.01651181  0.01961074 -0.03999508 ...  0.16359355 -0.02459709
  -0.00165415]]"
1_10748_u_11,"[[ 0.0066248   0.11848907 -0.15638146 ...  0.1828644  -0.03191439
  -0.10277689]
 [ 0.00980075  0.13074757 -0.19373214 ...  0.2086182  -0.0567818
  -0.11633031]
 [-0.05461246  0.15307762 -0.13171858 ...  0.22089444 -0.05984121
  -0.06097642]
 ...
 [ 0.00979258  0.04005722 -0.11913913 ...  0.15520655 -0.02265808
  -0.0857949 ]
 [-0.05496462  0.0211583  -0.01413322 ...  0.18604514 -0.01015428
   0.02499779]
 [-0.00642366 -0.02603019 -0.00507955 ...  0.14480127 -0.01189264
   0.02268381]]"
1_10748_u_12,"[[-0.00796958  0.14063078 -0.14939979 ...  0.20299108 -0.02734948
  -0.1097153 ]
 [-0.00222591  0.16245924 -0.2022649  ...  0.22116901 -0.05565985
  -0.13466693]
 [-0.0294641   0.15779492 -0.1646226  ...  0.21581587 -0.05219485
  -0.11434597]
 ...
 [ 0.04101485 -0.00535262 -0.10541411 ...  0.12867066 -0.00228854
  -0.06520428]
 [-0.01668157 -0.02272458 -0.00576108 ...  0.15990674 -0.00307794
   0.04355999]
 [ 0.03126163 -0.06611051  0.02066325 ...  0.12485737 -0.00164303
   0.05242283]]"
1_10748_u_13,"[[-0.00854262  0.15666519 -0.18050781 ...  0.20510261 -0.03856845
  -0.1194835 ]
 [ 0.01107505  0.16177334 -0.21139461 ...  0.21848556 -0.04335037
  -0.14082032]
 [-0.01037748  0.15085994 -0.17396206 ...  0.188971   -0.04027717
  -0.13073869]
 ...
 [ 0.00247292  0.01995095 -0.07249485 ...  0.15152325 -0.00117314
  -0.02832166]
 [-0.01307739 -0.05236248  0.00972143 ...  0.15528563  0.01916715
   0.07616776]
 [ 0.02595137 -0.02364824  0.00073566 ...  0.15129873  0.01751561
   0.09533196]]"
1_10748_u_14,"[[ 0.00592925  0.13667683 -0.19256456 ...  0.18732862 -0.04551742
  -0.11900866]
 [ 0.00518335  0.15788096 -0.20555134 ...  0.22356002 -0.04721108
  -0.13300166]
 [-0.01532013  0.15414178 -0.1833269  ...  0.2034908  -0.05381513
  -0.11932186]
 ...
 [-0.00523299  0.04963964 -0.09768143 ...  0.17475595 -0.01850811
  -0.04629232]
 [-0.01906207 -0.01273837 -0.0012354  ...  0.14881445  0.03533288
   0.04565201]
 [ 0.00177677  0.02238484 -0.02394647 ...  0.16083655  0.01669008
   0.05391702]]"
1_10748_u_15,"[[ 0.01967219  0.13360175 -0.20140234 ...  0.17808479 -0.03901182
  -0.13025334]
 [ 0.01205369  0.15289156 -0.2050887  ...  0.2155303  -0.04204725
  -0.13030164]
 [-0.02089341  0.15940326 -0.18229103 ...  0.20696762 -0.05697516
  -0.11255094]
 ...
 [-0.03251319  0.07816166 -0.07760019 ...  0.20847209 -0.03210695
  -0.0227001 ]
 [ 0.01954044 -0.05345256  0.02273948 ...  0.16866879  0.01769787
   0.11972466]
 [ 0.0169113  -0.00717101  0.00752875 ...  0.14559522  0.03492885
   0.10297749]]"
1_10748_u_16,"[[ 0.03491701  0.12705608 -0.19999391 ...  0.15994075 -0.02812828
  -0.13842662]
 [ 0.02265452  0.14455475 -0.19910744 ...  0.19659658 -0.02617734
  -0.13659221]
 [-0.00515641  0.15448822 -0.18296397 ...  0.19491939 -0.04246419
  -0.12173691]
 ...
 [-0.04319328  0.09783038 -0.07519168 ...  0.22212565 -0.03269226
  -0.0247958 ]
 [-0.00337699 -0.01036327 -0.00025074 ...  0.1842501   0.0072742
   0.1047954 ]
 [-0.02806559  0.01380941  0.00191273 ...  0.16411698  0.03349471
   0.05594213]]"
1_10748_u_17,"[[ 0.01572134  0.13324472 -0.18281591 ...  0.17566851 -0.02196905
  -0.13166986]
 [ 0.01770985  0.15183641 -0.20486423 ...  0.20630522 -0.03087658
  -0.1494896 ]
 [-0.00162644  0.15940322 -0.19244453 ...  0.2021196  -0.0443892
  -0.13086575]
 ...
 [-0.03617034  0.13749172 -0.1231808  ...  0.24226761 -0.06031601
  -0.05237957]
 [-0.01951909  0.07340473 -0.0665679  ...  0.21070188 -0.04276917
   0.03895302]
 [-0.05529268  0.07995777 -0.03813221 ...  0.21092173 -0.01357749
   0.01285117]]"
1_10748_u_18,"[[-0.02657999  0.15013579 -0.14300516 ...  0.2317234  -0.02134816
  -0.11788003]
 [-0.06657371  0.1949704  -0.16630888 ...  0.28116086 -0.06279492
  -0.11322886]
 [-0.01263344  0.15640707 -0.15039158 ...  0.21778256 -0.01526661
  -0.14229956]
 ...
 [-0.03629551  0.1582466  -0.17575744 ...  0.22921342 -0.05985508
  -0.12938833]
 [-0.02641328  0.12300053 -0.15361133 ...  0.1894515  -0.04461002
  -0.14000638]
 [-0.03629189  0.11231524 -0.12415992 ...  0.20061088 -0.03227021
  -0.09300678]]"
1_10748_u_2,"[[ 0.02444042  0.13343525 -0.13115293 ...  0.18913478 -0.04739453
  -0.0506031 ]
 [-0.0031588   0.1581725  -0.18361571 ...  0.19484235 -0.06297331
  -0.09529397]
 [ 0.02631401  0.111082   -0.09315842 ...  0.17474529 -0.0750151
   0.01686789]
 ...
 [-0.06600128  0.12619558 -0.10031204 ...  0.21435748 -0.06794082
  -0.08116363]
 [ 0.01432261 -0.1303306   0.05560876 ...  0.14233354 -0.00602883
  -0.01421933]
 [-0.07231078  0.0802802  -0.0578349  ...  0.218231   -0.05548634
  -0.01426929]]"
1_10748_u_3,"[[ 0.02331579  0.1420697  -0.15757337 ...  0.16688599 -0.02687757
  -0.09058438]
 [ 0.02177414  0.13582547 -0.17967877 ...  0.13707247 -0.05733777
  -0.10382539]
 [ 0.02378834  0.10407352 -0.10181738 ...  0.17177108 -0.04810736
  -0.02192982]
 ...
 [-0.0531038   0.1053647  -0.09166779 ...  0.19139941 -0.02922997
  -0.09276301]
 [-0.00978726 -0.08639656  0.0111439  ...  0.1187319   0.00511475
  -0.01204386]
 [-0.06762166  0.07339159 -0.05233493 ...  0.20952994 -0.04257734
  -0.01486664]]"
1_10748_u_4,"[[ 0.03794762  0.11858778 -0.14764068 ...  0.13543928 -0.01814325
  -0.09056916]
 [ 0.02170732  0.11901851 -0.16740572 ...  0.11876908 -0.05657688
  -0.09829206]
 [ 0.02573594  0.10416955 -0.05739146 ...  0.16860281 -0.09025732
   0.02278984]
 ...
 [-0.05469488  0.06164438 -0.0505701  ...  0.17098157 -0.00980381
  -0.07559495]
 [-0.02483706 -0.07758602  0.00868607 ...  0.12790284  0.05021113
  -0.01586765]
 [-0.05352935  0.00385341 -0.0104185  ...  0.17285185 -0.0167449
   0.00728057]]"
